CVE_LOC,CVE_MUN,CVE_ENT,NOM_LOC,NOM_MUN,NOM_ENT,rnpa,tot_subsidies,POBTOT,POBFEM,POBMAS,deci_lon,deci_lat
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,NA,59635757.72,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,NA,55718,330652,167339,163313,-116.59513388888888,31.80894388888889
020010051,02001,02,LA BOCANA,ENSENADA,BAJA CALIFORNIA,NA,317840,2,NA,NA,-116.66246027777778,31.53689638888889
020010095,02001,02,EJIDO ERENDIRA,ENSENADA,BAJA CALIFORNIA,203127311,6709689,1711,819,892,-116.37139499999999,31.27332361111111
020010095,02001,02,EJIDO ERENDIRA,ENSENADA,BAJA CALIFORNIA,203127731,365541,1711,819,892,-116.37139499999999,31.27332361111111
020010124,02001,02,ISLA DE CEDROS,ENSENADA,BAJA CALIFORNIA,203009314,1091229,1233,582,651,-115.19277777777778,28.095555555555553
020010124,02001,02,ISLA DE CEDROS,ENSENADA,BAJA CALIFORNIA,204000061,88100,1233,582,651,-115.19277777777778,28.095555555555553
020010139,02001,02,RODOLFO SANCHEZ TABOADA (MANEADERO),ENSENADA,BAJA CALIFORNIA,203008149,260,27969,13921,14048,-116.57149055555556,31.72355083333333
020010139,02001,02,RODOLFO SANCHEZ TABOADA (MANEADERO),ENSENADA,BAJA CALIFORNIA,203012505,354571,27969,13921,14048,-116.57149055555556,31.72355083333333
020010151,02001,02,LA MISION,ENSENADA,BAJA CALIFORNIA,203009170,306860,1122,541,581,-116.85094555555555,32.09341166666667
020010155,02001,02,DIAZ [RANCHO],ENSENADA,BAJA CALIFORNIA,203008974,470709,11,5,6,-116.61212777777777,31.711624999999998
020010184,02001,02,CORONEL ESTEBAN CANTU,ENSENADA,BAJA CALIFORNIA,203008149,2128085,545,261,284,-116.64096888888889,31.7052275
020010186,02001,02,EJIDO PUNTA COLNETT (PUNTA COLONET),ENSENADA,BAJA CALIFORNIA,203009136,261959,3095,1509,1586,-116.21029916666667,31.070360555555556
020010192,02001,02,EL REFUGIO,ENSENADA,BAJA CALIFORNIA,305000036,287280,4,NA,NA,-116.26260305555556,31.32017861111111
020010195,02001,02,EJIDO RODOLFO SANCHEZ TABOADA (EL CALVARIO),ENSENADA,BAJA CALIFORNIA,203013917,314376,291,141,150,-116.21461444444445,31.291030555555558
020010242,02001,02,SANTO TOMAS,ENSENADA,BAJA CALIFORNIA,203012554,121686,395,202,193,-116.40687416666667,31.551543055555555
020010247,02001,02,EL SAUZAL DE RODRIGUEZ,ENSENADA,BAJA CALIFORNIA,203005103,60000,11371,5666,5705,-116.69870305555555,31.896220555555555
