CVE_LOC,CVE_MUN,tot_value,no_sub,subsidy,rnpa,NOM_ENT,NOM_MUN,NOM_LOC,CVE_ENT,POBTOT,POBFEM,POBMAS,deci_lon,deci_lat
020010151,02001,306860,1,vessel modernization,203009170,BAJA CALIFORNIA,ENSENADA,LA MISION,02,1122,541,581,-116.85094555555555,32.09341166666667
020010152,02001,149746,1,vessel modernization,203014279,NA,NA,NA,NA,NA,NA,NA,NA,NA
020010152,02001,146440,1,vessel modernization,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
020010155,02001,470709,4,vessel modernization,203008974,BAJA CALIFORNIA,ENSENADA,DIAZ [RANCHO],02,11,5,6,-116.61212777777777,31.711624999999998
020010184,02001,2128012,18,vessel modernization,203008149,BAJA CALIFORNIA,ENSENADA,CORONEL ESTEBAN CANTU,02,545,261,284,-116.64096888888889,31.7052275
020010186,02001,261959,1,vessel modernization,203009136,BAJA CALIFORNIA,ENSENADA,EJIDO PUNTA COLNETT (PUNTA COLONET),02,3095,1509,1586,-116.21029916666667,31.070360555555556
020010195,02001,314376,2,vessel modernization,203013917,BAJA CALIFORNIA,ENSENADA,EJIDO RODOLFO SANCHEZ TABOADA (EL CALVARIO),02,291,141,150,-116.21461444444445,31.291030555555558
020010198,02001,3855216,36,vessel modernization,203000302,NA,NA,NA,NA,NA,NA,NA,NA,NA
020010198,02001,927742,4,vessel modernization,203004726,NA,NA,NA,NA,NA,NA,NA,NA,NA
020010198,02001,125600,1,vessel modernization,203008875,NA,NA,NA,NA,NA,NA,NA,NA,NA
020010198,02001,206716,4,vessel modernization,203009949,NA,NA,NA,NA,NA,NA,NA,NA,NA
020010198,02001,16169,2,vessel modernization,203009956,NA,NA,NA,NA,NA,NA,NA,NA,NA
020010198,02001,356296,2,vessel modernization,203010715,NA,NA,NA,NA,NA,NA,NA,NA,NA
020010198,02001,133684,2,vessel modernization,203127105,NA,NA,NA,NA,NA,NA,NA,NA,NA
020010198,02001,275474,1,vessel modernization,203127110,NA,NA,NA,NA,NA,NA,NA,NA,NA
020010200,02001,123845,2,vessel modernization,203010715,NA,NA,NA,NA,NA,NA,NA,NA,NA
020010200,02001,3184959,23,vessel modernization,203011457,NA,NA,NA,NA,NA,NA,NA,NA,NA
020010200,02001,1192276,4,vessel modernization,203014428,NA,NA,NA,NA,NA,NA,NA,NA,NA
020010249,02001,252900,1,vessel modernization,203007836,NA,NA,NA,NA,NA,NA,NA,NA,NA
020010249,02001,299063,1,vessel modernization,203008099,NA,NA,NA,NA,NA,NA,NA,NA,NA
020010249,02001,550400,8,vessel modernization,203008305,NA,NA,NA,NA,NA,NA,NA,NA,NA
020010249,02001,95240,4,vessel modernization,203008610,NA,NA,NA,NA,NA,NA,NA,NA,NA
