NOM_LOC,NOM_ENT,rnp_code,NOM_MUN,CVE_ENT,CVE_MUN,CVE_LOC,POBTOT,POBFEM,POBMAS,deci_lon,deci_lat
CIUDAD OBREGON,SONORA,2602001261,CAJEME,26,26018,260180001,329404,168547,160857,-109.93271611111112,27.49648888888889
CIUDAD OBREGON,SONORA,2602001907,CAJEME,26,26018,260180001,329404,168547,160857,-109.93271611111112,27.49648888888889
CIUDAD OBREGON,SONORA,2602401172,CAJEME,26,26018,260180001,329404,168547,160857,-109.93271611111112,27.49648888888889
GOLFO DE SANTA CLARA,SONORA,2603000585,SAN LUIS RIO COLORADO,26,26055,260550011,4618,2184,2434,-114.50091861111112,31.689948611111113
HEROICA GUAYMAS,SONORA,2604609509,GUAYMAS,26,26029,260290001,117253,59414,57839,-110.88944472222222,27.923248611111113
HEROICA GUAYMAS,SONORA,2604000502,GUAYMAS,26,26029,260290001,117253,59414,57839,-110.88944472222222,27.923248611111113
HEROICA GUAYMAS,SONORA,2604091054,GUAYMAS,26,26029,260290001,117253,59414,57839,-110.88944472222222,27.923248611111113
HEROICA GUAYMAS,SONORA,2609014598,GUAYMAS,26,26029,260290001,117253,59414,57839,-110.88944472222222,27.923248611111113
HEROICA GUAYMAS,SONORA,2604009700,GUAYMAS,26,26029,260290001,117253,59414,57839,-110.88944472222222,27.923248611111113
HEROICA GUAYMAS,SONORA,2604001590,GUAYMAS,26,26029,260290001,117253,59414,57839,-110.88944472222222,27.923248611111113
HEROICA GUAYMAS,SONORA,2604609863,GUAYMAS,26,26029,260290001,117253,59414,57839,-110.88944472222222,27.923248611111113
HEROICA GUAYMAS,SONORA,2604011872,GUAYMAS,26,26029,260290001,117253,59414,57839,-110.88944472222222,27.923248611111113
HEROICA GUAYMAS,SONORA,2604609913,GUAYMAS,26,26029,260290001,117253,59414,57839,-110.88944472222222,27.923248611111113
HEROICA GUAYMAS,SONORA,2604609582,GUAYMAS,26,26029,260290001,117253,59414,57839,-110.88944472222222,27.923248611111113
HEROICA GUAYMAS,SONORA,2604009791,GUAYMAS,26,26029,260290001,117253,59414,57839,-110.88944472222222,27.923248611111113
HEROICA GUAYMAS,SONORA,2604001186,GUAYMAS,26,26029,260290001,117253,59414,57839,-110.88944472222222,27.923248611111113
HEROICA GUAYMAS,SONORA,2505001640,GUAYMAS,26,26029,260290001,117253,59414,57839,-110.88944472222222,27.923248611111113
HEROICA GUAYMAS,SONORA,2602006781,GUAYMAS,26,26029,260290001,117253,59414,57839,-110.88944472222222,27.923248611111113
HUATABAMPO,SONORA,2609005562,HUATABAMPO,26,26033,260330001,30324,15540,14784,-109.64415333333334,26.826896944444446
HUATABAMPO,SONORA,2609001561,HUATABAMPO,26,26033,260330001,30324,15540,14784,-109.64415333333334,26.826896944444446
HUATABAMPO,SONORA,2609001744,HUATABAMPO,26,26033,260330001,30324,15540,14784,-109.64415333333334,26.826896944444446
HUATABAMPO,SONORA,2609001504,HUATABAMPO,26,26033,260330001,30324,15540,14784,-109.64415333333334,26.826896944444446
HUATABAMPO,SONORA,2609003369,HUATABAMPO,26,26033,260330001,30324,15540,14784,-109.64415333333334,26.826896944444446
HUATABAMPO,SONORA,2609014606,HUATABAMPO,26,26033,260330001,30324,15540,14784,-109.64415333333334,26.826896944444446
HUATABAMPO,SONORA,2609001348,HUATABAMPO,26,26033,260330001,30324,15540,14784,-109.64415333333334,26.826896944444446
HUATABAMPO,SONORA,2609014317,HUATABAMPO,26,26033,260330001,30324,15540,14784,-109.64415333333334,26.826896944444446
HUATABAMPO,SONORA,2609001165,HUATABAMPO,26,26033,260330001,30324,15540,14784,-109.64415333333334,26.826896944444446
HUATABAMPO,SONORA,2609001173,HUATABAMPO,26,26033,260330001,30324,15540,14784,-109.64415333333334,26.826896944444446
HUATABAMPO,SONORA,2609006354,HUATABAMPO,26,26033,260330001,30324,15540,14784,-109.64415333333334,26.826896944444446
HUATABAMPO,SONORA,2609014598,HUATABAMPO,26,26033,260330001,30324,15540,14784,-109.64415333333334,26.826896944444446
HUATABAMPO,SONORA,2609001199,HUATABAMPO,26,26033,260330001,30324,15540,14784,-109.64415333333334,26.826896944444446
HUATABAMPO,SONORA,2609004954,HUATABAMPO,26,26033,260330001,30324,15540,14784,-109.64415333333334,26.826896944444446
PUERTO LIBERTAD,SONORA,2611000916,PITIQUITO,26,26047,260470065,2750,1291,1459,-112.68645111111111,29.909170277777775
PUERTO LIBERTAD,SONORA,2604008769,PITIQUITO,26,26047,260470065,2750,1291,1459,-112.68645111111111,29.909170277777775
PUERTO LIBERTAD,SONORA,2612000014,PITIQUITO,26,26047,260470065,2750,1291,1459,-112.68645111111111,29.909170277777775
PUERTO LIBERTAD,SONORA,2604005021,PITIQUITO,26,26047,260470065,2750,1291,1459,-112.68645111111111,29.909170277777775
