NOM_ENT,NOM_MUN,NOM_LOC,CVE_ENT,CVE_LOC,CVE_MUN,tot_value,no_sub,subsidy,rnpa,year
CHIAPAS,PALENQUE,BAJADAS GRANDES,07,070650011,07065,7200,1,bienpesca,BIENPESCA,2020
CHIAPAS,PALENQUE,BAJADAS GRANDES,07,070650011,07065,7200,1,bienpesca,BIENPESCA,2021
CHIAPAS,PALENQUE,BAJADAS GRANDES,07,070650011,07065,7200,1,bienpesca,BIENPESCA,2022
TABASCO,BALANCAN,BAJO NETZAHUALCOYOTL,27,270010010,27001,14400,2,bienpesca,BIENPESCA,2020
TABASCO,BALANCAN,BAJO NETZAHUALCOYOTL,27,270010010,27001,14400,2,bienpesca,BIENPESCA,2021
TABASCO,BALANCAN,BAJO NETZAHUALCOYOTL,27,270010010,27001,14400,2,bienpesca,BIENPESCA,2022
CHIAPAS,CATAZAJA,BAJO USUMACINTA,07,070160003,07016,7200,1,bienpesca,BIENPESCA,2020
CHIAPAS,CATAZAJA,BAJO USUMACINTA,07,070160003,07016,7200,1,bienpesca,BIENPESCA,2021
CHIAPAS,CATAZAJA,BAJO USUMACINTA,07,070160003,07016,7200,1,bienpesca,BIENPESCA,2022
OAXACA,SAN PEDRO MIXTEPEC,BAJOS DE CHILA,20,203180002,20318,57600,8,bienpesca,BIENPESCA,2020
OAXACA,SAN PEDRO MIXTEPEC,BAJOS DE CHILA,20,203180002,20318,57600,8,bienpesca,BIENPESCA,2021
OAXACA,SAN PEDRO MIXTEPEC,BAJOS DE CHILA,20,203180002,20318,50400,7,bienpesca,BIENPESCA,2022
OAXACA,SANTA MARIA HUATULCO,BAJOS DE COYULA,20,204130008,20413,295200,41,bienpesca,BIENPESCA,2020
OAXACA,SANTA MARIA HUATULCO,BAJOS DE COYULA,20,204130008,20413,302400,42,bienpesca,BIENPESCA,2021
OAXACA,SANTA MARIA HUATULCO,BAJOS DE COYULA,20,204130008,20413,295200,41,bienpesca,BIENPESCA,2022
VERACRUZ,CATEMACO,BAJOS DE MIMIAHUA,NA,NA,NA,612000,85,bienpesca,BIENPESCA,2020
VERACRUZ,CATEMACO,BAJOS DE MIMIAHUA,NA,NA,NA,612000,85,bienpesca,BIENPESCA,2021
VERACRUZ,CATEMACO,BAJOS DE MIMIAHUA,NA,NA,NA,612000,85,bienpesca,BIENPESCA,2022
OAXACA,SANTA MARIA HUATULCO,BAJOS DEL ARENAL,20,204130007,20413,7200,1,bienpesca,BIENPESCA,2020
OAXACA,SANTA MARIA HUATULCO,BAJOS DEL ARENAL,20,204130007,20413,7200,1,bienpesca,BIENPESCA,2021
OAXACA,SANTA MARIA HUATULCO,BAJOS DEL ARENAL,20,204130007,20413,7200,1,bienpesca,BIENPESCA,2022
GUERRERO,COYUCA DE BENITEZ,BAJOS DEL EJIDO,12,120210008,12021,878400,122,bienpesca,BIENPESCA,2020
GUERRERO,COYUCA DE BENITEZ,BAJOS DEL EJIDO,12,120210008,12021,871200,121,bienpesca,BIENPESCA,2021
GUERRERO,COYUCA DE BENITEZ,BAJOS DEL EJIDO,12,120210008,12021,835200,116,bienpesca,BIENPESCA,2022
SINALOA,MAZATLAN,BALAMO,NA,NA,NA,14400,2,bienpesca,BIENPESCA,2021
SINALOA,MAZATLAN,BALAMO,NA,NA,NA,7200,1,bienpesca,BIENPESCA,2022
SINALOA,MAZATLAN,BALAMO,NA,NA,NA,1875,1,bienpesca,BIENPESCA,2023
TABASCO,BALANCAN,BALANCAN,27,270010001,27001,252000,35,bienpesca,BIENPESCA,2020
TABASCO,BALANCAN,BALANCAN,27,270010683,27001,252000,35,bienpesca,BIENPESCA,2020
TABASCO,BALANCAN,BALANCAN,27,270010001,27001,280800,39,bienpesca,BIENPESCA,2021
TABASCO,BALANCAN,BALANCAN,27,270010683,27001,280800,39,bienpesca,BIENPESCA,2021
TABASCO,BALANCAN,BALANCAN,27,270010001,27001,244800,34,bienpesca,BIENPESCA,2022
TABASCO,BALANCAN,BALANCAN,27,270010683,27001,244800,34,bienpesca,BIENPESCA,2022
GUERRERO,EDUARDO NERI,BALSAS SUR,12,120750006,12075,7200,1,bienpesca,BIENPESCA,2021
GUERRERO,EDUARDO NERI,BALSAS SUR,12,120750006,12075,7200,1,bienpesca,BIENPESCA,2022
VERACRUZ,SAN ANDRES TUXTLA,BALZAPOTE,NA,NA,NA,64800,9,bienpesca,BIENPESCA,2020
VERACRUZ,SAN ANDRES TUXTLA,BALZAPOTE,NA,NA,NA,64800,9,bienpesca,BIENPESCA,2021
VERACRUZ,SAN ANDRES TUXTLA,BALZAPOTE,NA,NA,NA,64800,9,bienpesca,BIENPESCA,2022
SINALOA,GUASAVE,BAMOA,25,250110052,25011,14400,2,bienpesca,BIENPESCA,2020
SINALOA,GUASAVE,BAMOA,25,250110052,25011,14400,2,bienpesca,BIENPESCA,2021
SINALOA,GUASAVE,BAMOA,25,250110052,25011,14400,2,bienpesca,BIENPESCA,2022
SINALOA,GUASAVE,BAMOA,25,250110052,25011,3750,2,bienpesca,BIENPESCA,2023
TABASCO,NACAJUCA,BANDERAS (GUATACALCA 2DA. SECCION),27,270130004,27013,7200,1,bienpesca,BIENPESCA,2021
TABASCO,NACAJUCA,BANDERAS (GUATACALCA 2DA. SECCION),27,270130004,27013,7200,1,bienpesca,BIENPESCA,2022
HIDALGO,TECOZAUTLA,BANZHA,13,130590006,13059,21600,3,bienpesca,BIENPESCA,2020
HIDALGO,TECOZAUTLA,BANZHA,13,130590006,13059,21600,3,bienpesca,BIENPESCA,2021
HIDALGO,TECOZAUTLA,BANZHA,13,130590006,13059,21600,3,bienpesca,BIENPESCA,2022
GUERRERO,CUAJINICUILAPA,BARAJILLAS (BARAJILLA),12,120230003,12023,21600,3,bienpesca,BIENPESCA,2020
GUERRERO,CUAJINICUILAPA,BARAJILLAS (BARAJILLA),12,120230003,12023,21600,3,bienpesca,BIENPESCA,2021
